/sm	OFF
/sc	ON
/sd	OFF
/fpo	pd	8.00 6.00
/td	"xy"
4.255032e-001	9.612382e+001
4.263892e-001	9.632366e+001
4.272754e-001	9.652350e+001
4.281615e-001	9.672334e+001
4.290476e-001	9.692318e+001
4.299337e-001	9.712302e+001
4.308199e-001	9.732286e+001
4.317061e-001	9.752270e+001
4.325922e-001	9.772254e+001
4.334784e-001	9.792238e+001
4.343646e-001	9.812222e+001
4.352509e-001	9.832206e+001
4.361371e-001	9.852190e+001
4.370233e-001	9.872174e+001
4.379096e-001	9.892158e+001
4.387958e-001	9.912142e+001
4.396821e-001	9.932126e+001
4.405684e-001	9.952110e+001
4.414547e-001	9.972094e+001
4.423410e-001	9.992078e+001
4.432274e-001	1.001206e+002
4.441137e-001	1.003205e+002
4.450001e-001	1.005203e+002
4.458864e-001	1.007201e+002
4.467728e-001	1.009200e+002
4.476592e-001	1.011198e+002
4.485456e-001	1.013197e+002
4.494321e-001	1.015195e+002
4.503185e-001	1.017193e+002
4.512050e-001	1.019192e+002
4.520914e-001	1.021190e+002
4.529779e-001	1.023189e+002
4.538644e-001	1.025187e+002
4.547509e-001	1.027185e+002
4.556374e-001	1.029184e+002
4.565240e-001	1.031182e+002
4.574105e-001	1.033181e+002
4.582971e-001	1.035179e+002
4.591837e-001	1.037177e+002
4.600702e-001	1.039176e+002
4.609569e-001	1.041174e+002
4.618435e-001	1.043173e+002
4.627301e-001	1.045171e+002
4.636168e-001	1.047169e+002
4.645034e-001	1.049168e+002
4.653901e-001	1.051166e+002
4.662768e-001	1.053165e+002
4.671635e-001	1.055163e+002
4.680502e-001	1.057161e+002
4.689370e-001	1.059160e+002
4.698237e-001	1.061158e+002
4.707105e-001	1.063157e+002
4.715973e-001	1.065155e+002
4.724841e-001	1.067153e+002
4.733709e-001	1.069152e+002
4.742578e-001	1.071150e+002
4.751446e-001	1.073149e+002
4.760315e-001	1.075147e+002
4.769183e-001	1.077145e+002
4.778052e-001	1.079144e+002
4.786922e-001	1.081142e+002
4.795791e-001	1.083141e+002
4.804660e-001	1.085139e+002
4.813530e-001	1.087137e+002
4.822400e-001	1.089136e+002
4.831270e-001	1.091134e+002
4.840140e-001	1.093133e+002
4.849010e-001	1.095131e+002
4.857881e-001	1.097129e+002
4.866751e-001	1.099128e+002
4.875622e-001	1.101126e+002
4.884493e-001	1.103125e+002
4.893364e-001	1.105123e+002
4.902235e-001	1.107121e+002
